"state","school_name","district","address","latitude","longitude","overall_score","state_rank","national_rank","ap_taken_pct","ap_passed_pct","math_proficiency","reading_proficiency","science_proficiency","graduation_rate","graduation_rate_raw","year","source_url"
"California","Antelope High School","Roseville Joint Union High","7801 Titan Dr., Antelope, California 95843",38.710769982408,-121.355900020039,77.03,553,4112,41,28,33,60,37,94,"94%","2025-2026","https://www.usnews.com/education/best-high-schools/california/districts/roseville-joint-union-high/antelope-high-school-3148"
"California","River Valley Charter","River Valley Charter District","9707 1/2 Marilla Dr., Lakeside, California 92040",32.853110266216,-116.940654581396,92.12,197,1411,50,40,71,93,72,82,"82%","2025-2026","https://www.usnews.com/education/best-high-schools/california/districts/river-valley-charter-district/river-valley-charter-2431"
"California","Rocklin High School","Rocklin Unified School District","5301 Victory Ln., Rocklin, California 95765",38.814786077879,-121.253705959556,83.03,423,3038,39,33,51,68,44,96,"96%","2025-2026","https://www.usnews.com/education/best-high-schools/california/districts/rocklin-unified-school-district/rocklin-high-school-1505"
"California","Mokelumne High (Continuation)","River Delta Joint Unified School District","160 Courtland High School Ln., Courtland, California 95615",38.33025001843,-121.568900021524,,,,,,,,,,"N/A","2025-2026","https://www.usnews.com/education/best-high-schools/california/districts/river-delta-joint-unified-school-district/mokelumne-high-continuation-3125"
"California","Whitney High School","Rocklin Unified School District","701 Wildcat Blvd., Rocklin, California 95765",38.837393394102,-121.290529836557,85.46,361,2603,45,36,44,80,44,97,"97%","2025-2026","https://www.usnews.com/education/best-high-schools/california/districts/rocklin-unified-school-district/whitney-high-school-1508"
"California","West Campus High School","Sacramento City Unified School District","5022 58th St., Sacramento, California 95820",38.52859403744,-121.438786765164,98.9,22,197,91,75,66,91,62,100,"100%","2025-2026","https://www.usnews.com/education/best-high-schools/california/districts/sacramento-city-unified-school-district/west-campus-high-school-3161"
"California","River Delta High/Elementary (Alternative)","River Delta Joint Unified School District","525 So. Second St., Rio Vista, California 95615",38.152058672456,-121.694733668208,,,,,,,,,73,"73%","2025-2026","https://www.usnews.com/education/best-high-schools/california/districts/river-delta-joint-unified-school-district/river-delta-high-elementary-alternative-3128"
"California","Horizon High School","Riverdale Joint Unified School District","3086 West Mt. Whitney Ave., Riverdale, California 93656",36.430933366313,-119.854947102136,,,,,,,,,,"N/A","2025-2026","https://www.usnews.com/education/best-high-schools/california/districts/riverdale-joint-unified-school-district/horizon-high-school-1586"
"California","Rise Kohyang High School","Rise Kohyang High District","600 South Lafayette Park Pl., Los Angeles, California 90057",34.06278446312,-118.282266487104,88.41,283,2074,50,30,43,68,21,91,"91%","2025-2026","https://www.usnews.com/education/best-high-schools/california/districts/rise-kohyang-high-district/rise-kohyang-high-school-408446"
"California","Rio Vista High School","River Delta Joint Unified School District","410 South Fourth St., Rio Vista, California 94571",38.154157166552,-121.696628056893,,,,23,16,11,32,13,96,"96%","2025-2026","https://www.usnews.com/education/best-high-schools/california/districts/river-delta-joint-unified-school-district/rio-vista-high-school-3127"
"California","Riverside Preparatory","Riverside Preparatory District","19121 Third St., Oro Grande, California 92368",34.597656938526,-117.331679657722,,,,8,2,9,38,17,97,"97%","2025-2026","https://www.usnews.com/education/best-high-schools/california/districts/riverside-preparatory-district/riverside-preparatory-2964"
"California","Riverdale High School","Riverdale Joint Unified School District","3086 West Mt. Whitney Ave., Riverdale, California 93656",36.430933366313,-119.854947102136,69.81,676,5405,36,15,21,46,22,95,"95%","2025-2026","https://www.usnews.com/education/best-high-schools/california/districts/riverdale-joint-unified-school-district/riverdale-high-school-1585"
"California","River Oaks Academy","River Oaks Academy District","920 Hampshire Rd. Ste. X, Westlake Village, California 91361",34.155809983684,-118.830599979884,35.18,1179,11603,,,41,57,55,91,"91%","2025-2026","https://www.usnews.com/education/best-high-schools/california/districts/river-oaks-academy-district/river-oaks-academy-141071"
"California","Rocklin Alternative Education Center","Rocklin Unified School District","3250 Victory Dr., Rocklin, California 95765",38.815618850154,-121.255200359922,,,,,,,,,96,"96%","2025-2026","https://www.usnews.com/education/best-high-schools/california/districts/rocklin-unified-school-district/rocklin-alternative-education-center-409275"
"California","Victory High School","Rocklin Unified School District","3250 Victory Dr., Rocklin, California 95765",38.815618850154,-121.255200359922,,,,,,,,,73,"73%","2025-2026","https://www.usnews.com/education/best-high-schools/california/districts/rocklin-unified-school-district/victory-high-school-200005"
"California","Adelante High (Continuation)","Roseville Joint Union High","350 Atlantic St., Roseville, California 95678",38.752949555327,-121.280068574102,,,,,,,,,61,"61%","2025-2026","https://www.usnews.com/education/best-high-schools/california/districts/roseville-joint-union-high/adelante-high-continuation-3143"
"California","Delta High School","River Delta Joint Unified School District","52810 Netherlands Ave., Clarksburg, California 95612",38.416134224499,-121.529107466875,73.83,603,4684,53,38,5,53,30,100,"100%","2025-2026","https://www.usnews.com/education/best-high-schools/california/districts/river-delta-joint-unified-school-district/delta-high-school-3126"
"California","School of Engineering and Sciences","Sacramento City Unified School District","7345 Gloria Dr., Sacramento, California 95831",38.49351970809,-121.536937217837,90.22,238,1750,75,28,29,69,59,100,"100%","2025-2026","https://www.usnews.com/education/best-high-schools/california/districts/sacramento-city-unified-school-district/school-of-engineering-and-sciences-91777"
"California","C. K. Mcclatchy High School","Sacramento City Unified School District","3066 Freeport Blvd., Sacramento, California 95818",38.548096191881,-121.489766142758,58.89,865,7358,47,31,18,38,23,90,"90%","2025-2026","https://www.usnews.com/education/best-high-schools/california/districts/sacramento-city-unified-school-district/c-k-mcclatchy-high-school-3156"
"California","Luther Burbank High School","Sacramento City Unified School District","3500 Florin Rd., Sacramento, California 95823",38.495873142404,-121.467507253167,,,,32,11,6,24,6,83,"83%","2025-2026","https://www.usnews.com/education/best-high-schools/california/districts/sacramento-city-unified-school-district/luther-burbank-high-school-3159"
"California","American Legion High (Continuation)","Sacramento City Unified School District","3801 Broadway, Sacramento, California 95817",38.548263320023,-121.464000000369,,,,,,,,,56,"56%","2025-2026","https://www.usnews.com/education/best-high-schools/california/districts/sacramento-city-unified-school-district/american-legion-high-continuation-3155"
"California","New Technology High School","Sacramento City Unified School District","1400 Dickson St., Sacramento, California 95822",38.51890893664,-121.504723217483,,,,,,8,31,19,97,"97%","2025-2026","https://www.usnews.com/education/best-high-schools/california/districts/sacramento-city-unified-school-district/new-technology-high-school-3167"
"California","Rosemont High School","Sacramento City Unified School District","9594 Kiefer Blvd., Sacramento, California 95827",38.544607258083,-121.339546481062,33.69,1198,11870,28,13,12,35,25,85,"85%","2025-2026","https://www.usnews.com/education/best-high-schools/california/districts/sacramento-city-unified-school-district/rosemont-high-school-3164"
"California","Umoja International Academy","Sacramento City Unified School District","5301 N St., Sacramento, California 95819",38.560447576546,-121.440921823871,96.26,88,670,77,46,40,86,55,100,"100%","2025-2026","https://www.usnews.com/education/best-high-schools/california/districts/sacramento-city-unified-school-district/umoja-international-academy-200191"
